Date,Time,Category,StudyTimeMinutes,TotalStudyTimeMinutes,studyTimeMinutes,totalStudyTimeHours,
20260923,1131,Reading,50,50,0.833333,0.833333
20260923,1132,Chore,60,110,1,1.83333
20260923,1507,Coding,210,320,3.5,5.33333
20260924,1557,Coding,240,240,4,4
